pollster,numeric_grade,state,candidate_name,pct,sample_size,pollscore,population,end_date,national_poll,recency
Siena/NYT,3,Georgia,Donald Trump,47,682,-1.5,lv,2024-09-21,0,45
Siena/NYT,3,North Carolina,Donald Trump,48,682,-1.5,rv,2024-09-21,0,45
Siena/NYT,3,North Carolina,Donald Trump,49,682,-1.5,lv,2024-09-21,0,45
Siena/NYT,3,North Carolina,Donald Trump,46,682,-1.5,rv,2024-09-21,0,45
Siena/NYT,3,North Carolina,Donald Trump,47,682,-1.5,lv,2024-09-21,0,45
YouGov,3,National,Donald Trump,48,3129,-1.1,lv,2024-09-20,1,46
RMG Research,2.3,Ohio,Donald Trump,54,781,-0.4,lv,2024-09-20,0,46
RMG Research,2.3,Pennsylvania,Donald Trump,49,783,-0.4,lv,2024-09-20,0,46
Remington,2.6,Michigan,Donald Trump,47,800,-0.6,lv,2024-09-20,0,46
Remington,2.6,Nevada,Donald Trump,49,800,-0.6,lv,2024-09-20,0,46
Remington,2.6,Pennsylvania,Donald Trump,48,800,-0.6,lv,2024-09-20,0,46
Remington,2.6,Wisconsin,Donald Trump,48,800,-0.6,lv,2024-09-20,0,46
Remington,2.6,Montana,Donald Trump,56,800,-0.6,lv,2024-09-20,0,46
RMG Research,2.3,National,Donald Trump,48,2969,-0.4,lv,2024-09-19,1,47
Muhlenberg,2.8,Pennsylvania,Donald Trump,48,450,-1,lv,2024-09-19,0,47
RMG Research,2.3,Montana,Donald Trump,59,491,-0.4,lv,2024-09-19,0,47
University of Massachusetts Lowell/YouGov,2.9,Michigan,Donald Trump,43,650,-1,lv,2024-09-19,0,47
University of Massachusetts Lowell/YouGov,2.9,Pennsylvania,Donald Trump,46,800,-1,lv,2024-09-19,0,47
Mason-Dixon,2.6,Minnesota,Donald Trump,43,800,-1.1,lv,2024-09-18,0,48
Suffolk,2.9,Michigan,Donald Trump,45.4,500,-1,lv,2024-09-18,0,48
Emerson,2.9,Arizona,Donald Trump,49.8,868,-1.1,lv,2024-09-18,0,48
Emerson,2.9,Georgia,Donald Trump,50.3,975,-1.1,lv,2024-09-18,0,48
Emerson,2.9,Michigan,Donald Trump,49.1,875,-1.1,lv,2024-09-18,0,48
Emerson,2.9,Nevada,Donald Trump,49,895,-1.1,lv,2024-09-18,0,48
Emerson,2.9,Pennsylvania,Donald Trump,49.3,880,-1.1,lv,2024-09-18,0,48
Emerson,2.9,North Carolina,Donald Trump,49.3,1000,-1.1,lv,2024-09-18,0,48
Emerson,2.9,Wisconsin,Donald Trump,50.3,1000,-1.1,lv,2024-09-18,0,48
MassINC Polling Group,2.8,Pennsylvania,Donald Trump,46,800,-0.8,lv,2024-09-18,0,48
MassINC Polling Group,2.8,Pennsylvania,Donald Trump,47,800,-0.8,lv,2024-09-18,0,48
MassINC Polling Group,2.8,Massachusetts,Donald Trump,32,800,-0.8,lv,2024-09-18,0,48
MassINC Polling Group,2.8,Massachusetts,Donald Trump,35,800,-0.8,lv,2024-09-18,0,48
SurveyUSA,2.8,New Mexico,Donald Trump,42,619,-1.3,lv,2024-09-18,0,48
MassINC Polling Group,2.8,Wisconsin,Donald Trump,45,800,-0.8,lv,2024-09-18,0,48
MassINC Polling Group,2.8,Wisconsin,Donald Trump,46,800,-0.8,lv,2024-09-18,0,48
MassINC Polling Group,2.8,Connecticut,Donald Trump,37,800,-0.8,lv,2024-09-18,0,48
MassINC Polling Group,2.8,Rhode Island,Donald Trump,40,800,-0.8,lv,2024-09-18,0,48
MassINC Polling Group,2.8,Rhode Island,Donald Trump,43,800,-0.8,lv,2024-09-18,0,48
YouGov,3,National,Donald Trump,45,1445,-1.1,rv,2024-09-17,1,49
Hart/POS,2.6,National,Donald Trump,44,1000,-0.7,rv,2024-09-17,1,49
Hart/POS,2.6,National,Donald Trump,41,1000,-0.7,rv,2024-09-17,1,49
Marist,2.9,Pennsylvania,Donald Trump,48,1663,-0.9,rv,2024-09-17,0,49
Marist,2.9,Pennsylvania,Donald Trump,49,1476,-0.9,lv,2024-09-17,0,49
Marist,2.9,Wisconsin,Donald Trump,47,1312,-0.9,rv,2024-09-17,0,49
Marist,2.9,Wisconsin,Donald Trump,49,1194,-0.9,lv,2024-09-17,0,49
Marist,2.9,Michigan,Donald Trump,47,1282,-0.9,rv,2024-09-17,0,49
Marist,2.9,Michigan,Donald Trump,47,1138,-0.9,lv,2024-09-17,0,49
Data for Progress,2.6,National,Donald Trump,45,6152,-1.2,lv,2024-09-17,1,49
Cygnal,2.1,North Carolina,Donald Trump,45.6,600,-1.1,lv,2024-09-16,0,50
Angus Reid,2,National,Donald Trump,45,1707,-0.1,rv,2024-09-16,1,50
Beacon/Shaw,2.8,National,Donald Trump,48,1102,-1.1,rv,2024-09-16,1,50
Beacon/Shaw,2.8,National,Donald Trump,48,876,-1.1,lv,2024-09-16,1,50
Quinnipiac,2.8,Pennsylvania,Donald Trump,45,1331,-0.5,lv,2024-09-16,0,50
Quinnipiac,2.8,Pennsylvania,Donald Trump,46,1331,-0.5,lv,2024-09-16,0,50
Quinnipiac,2.8,Michigan,Donald Trump,45,905,-0.5,lv,2024-09-16,0,50
Quinnipiac,2.8,Michigan,Donald Trump,46,905,-0.5,lv,2024-09-16,0,50
Quinnipiac,2.8,Wisconsin,Donald Trump,47,1075,-0.5,lv,2024-09-16,0,50
Quinnipiac,2.8,Wisconsin,Donald Trump,48,1075,-0.5,lv,2024-09-16,0,50
U. New Hampshire,2.6,Rhode Island,Donald Trump,38,683,-0.3,lv,2024-09-16,0,50
U. New Hampshire,2.6,Massachusetts,Donald Trump,31,564,-0.3,lv,2024-09-16,0,50
U. New Hampshire,2.6,New Hampshire,Donald Trump,43,1695,-0.3,lv,2024-09-16,0,50
The Washington Post,3,Pennsylvania,Donald Trump,47,1003,-1.2,lv,2024-09-16,0,50
The Washington Post,3,Pennsylvania,Donald Trump,48,1003,-1.2,lv,2024-09-16,0,50
Siena/NYT,3,National,Donald Trump,47,2437,-1.5,lv,2024-09-16,1,50
Siena/NYT,3,National,Donald Trump,47,2437,-1.5,rv,2024-09-16,1,50
Siena/NYT,3,National,Donald Trump,46,2437,-1.5,rv,2024-09-16,1,50
Siena/NYT,3,National,Donald Trump,46,2437,-1.5,lv,2024-09-16,1,50
Siena,2.7,New York,Donald Trump,40,1003,-0.8,lv,2024-09-16,0,50
Siena,2.7,New York,Donald Trump,42,1003,-0.8,lv,2024-09-16,0,50
Siena/NYT,3,Pennsylvania,Donald Trump,46,1082,-1.5,rv,2024-09-16,0,50
Siena/NYT,3,Pennsylvania,Donald Trump,46,1082,-1.5,lv,2024-09-16,0,50
Siena/NYT,3,Pennsylvania,Donald Trump,45,1082,-1.5,rv,2024-09-16,0,50
Siena/NYT,3,Pennsylvania,Donald Trump,45,1082,-1.5,lv,2024-09-16,0,50
Noble Predictive Insights,2.4,Nevada,Donald Trump,47,692,-0.4,lv,2024-09-16,0,50
Noble Predictive Insights,2.4,Nevada,Donald Trump,45,812,-0.4,rv,2024-09-16,0,50
Noble Predictive Insights,2.4,Nevada,Donald Trump,47,692,-0.4,lv,2024-09-16,0,50
Noble Predictive Insights,2.4,Nevada,Donald Trump,43,812,-0.4,rv,2024-09-16,0,50
InsiderAdvantage,2,Pennsylvania,Donald Trump,49.8,800,-0.3,lv,2024-09-15,0,51
U. Georgia SPIA,2.2,Georgia,Donald Trump,46.9,1000,-0.2,lv,2024-09-15,0,51
Pan Atlantic Research,2.1,Maine,Donald Trump,41,812,-0.1,lv,2024-09-15,0,51
Pan Atlantic Research,2.1,Maine CD-1,Donald Trump,32,414,-0.1,lv,2024-09-15,0,51
Pan Atlantic Research,2.1,Maine CD-2,Donald Trump,49,398,-0.1,lv,2024-09-15,0,51
Franklin and Marshall College,2.4,Pennsylvania,Donald Trump,46,890,-0.1,rv,2024-09-15,0,51
Suffolk,2.9,Pennsylvania,Donald Trump,45.6,500,-1,lv,2024-09-14,0,52
Data for Progress,2.6,National,Donald Trump,46,1283,-1.2,lv,2024-09-13,1,53
Emerson,2.9,Maryland,Donald Trump,33.3,890,-1.1,lv,2024-09-13,0,53
Emerson,2.9,Missouri,Donald Trump,55.2,850,-1.1,lv,2024-09-13,0,53
Emerson,2.9,Indiana,Donald Trump,57.9,1000,-1.1,lv,2024-09-13,0,53
YouGov,3,National,Donald Trump,45,1177,-1.1,rv,2024-09-13,1,53
YouGov,3,National,Donald Trump,46,1090,-1.1,lv,2024-09-13,1,53
YouGov,3,National,Donald Trump,44,1175,-1.1,rv,2024-09-13,1,53
YouGov,3,National,Donald Trump,45,1090,-1.1,lv,2024-09-13,1,53
Ipsos,2.8,National,Donald Trump,46,3276,-0.9,a,2024-09-13,1,53
Ipsos,2.8,National,Donald Trump,47,2772,-0.9,rv,2024-09-13,1,53
Ipsos,2.8,National,Donald Trump,46,2196,-0.9,lv,2024-09-13,1,53
Ipsos,2.8,National,Donald Trump,45,3276,-0.9,a,2024-09-13,1,53
Ipsos,2.8,National,Donald Trump,46,2772,-0.9,rv,2024-09-13,1,53
Ipsos,2.8,National,Donald Trump,46,2196,-0.9,lv,2024-09-13,1,53
Research & Polling,2.1,New Mexico,Donald Trump,39,532,-0.9,lv,2024-09-13,0,53
Elon U.,2.5,North Carolina,Donald Trump,45,800,-0.6,rv,2024-09-13,0,53
InsiderAdvantage,2,Michigan,Donald Trump,48.6,800,-0.3,lv,2024-09-12,0,54
Ipsos,2.8,National,Donald Trump,42,1405,-0.9,rv,2024-09-12,1,54
Ipsos,2.8,National,Donald Trump,39,1690,-0.9,a,2024-09-12,1,54
St. Anselm,2.4,New Hampshire,Donald Trump,43,2241,-0.5,lv,2024-09-12,0,54
St. Anselm,2.4,New Hampshire,Donald Trump,43,2241,-0.5,lv,2024-09-12,0,54
InsiderAdvantage,2,Wisconsin,Donald Trump,46.6,800,-0.3,lv,2024-09-12,0,54
AtlasIntel,2.7,National,Donald Trump,50.9,1775,-0.8,lv,2024-09-12,1,54
AtlasIntel,2.7,National,Donald Trump,50.9,1775,-0.8,lv,2024-09-12,1,54
RMG Research,2.3,National,Donald Trump,47,2756,-0.4,lv,2024-09-12,1,54
GQR,2,Missouri,Donald Trump,55,645,0.1,lv,2024-09-12,0,54
Mitchell,2.4,Michigan,Donald Trump,48,580,-0.2,lv,2024-09-11,0,55
Mitchell,2.4,Michigan,Donald Trump,46,580,-0.2,lv,2024-09-11,0,55
Leger,2,National,Donald Trump,44,1174,0,lv,2024-09-11,1,55
Selzer,2.8,Iowa,Donald Trump,47,656,-1.2,lv,2024-09-11,0,55
YouGov,3,National,Donald Trump,45,1464,-1.1,rv,2024-09-10,1,56
Data Orbital,2.9,Arizona,Donald Trump,46.2,550,-0.9,lv,2024-09-09,0,57
PPIC,2.5,California,Donald Trump,29,1071,-0.4,lv,2024-09-09,0,57
Quinnipiac,2.8,North Carolina,Donald Trump,46,940,-0.5,lv,2024-09-08,0,58
Quinnipiac,2.8,North Carolina,Donald Trump,47,940,-0.5,lv,2024-09-08,0,58
Quinnipiac,2.8,Georgia,Donald Trump,49,969,-0.5,lv,2024-09-08,0,58
Quinnipiac,2.8,Georgia,Donald Trump,49,969,-0.5,lv,2024-09-08,0,58
Washington Post/George Mason University,2.7,Virginia,Donald Trump,42,1005,-0.8,lv,2024-09-08,0,58
Washington Post/George Mason University,2.7,Virginia,Donald Trump,43,1005,-0.8,lv,2024-09-08,0,58
Washington Post/George Mason University,2.7,Virginia,Donald Trump,42,1005,-0.8,rv,2024-09-08,0,58
Washington Post/George Mason University,2.7,Virginia,Donald Trump,43,1005,-0.8,rv,2024-09-08,0,58
SurveyUSA,2.8,North Carolina,Donald Trump,46,676,-1.3,lv,2024-09-07,0,59
YouGov,3,Michigan,Donald Trump,49,1077,-1.1,lv,2024-09-06,0,60
YouGov,3,Pennsylvania,Donald Trump,50,1078,-1.1,lv,2024-09-06,0,60
YouGov,3,Wisconsin,Donald Trump,49,946,-1.1,lv,2024-09-06,0,60
Siena/NYT,3,National,Donald Trump,48,1695,-1.5,lv,2024-09-06,1,60
Siena/NYT,3,National,Donald Trump,47,1695,-1.5,lv,2024-09-06,1,60
Siena/NYT,3,National,Donald Trump,48,1695,-1.5,rv,2024-09-06,1,60
Siena/NYT,3,National,Donald Trump,46,1695,-1.5,rv,2024-09-06,1,60
Virginia Commonwealth U.,2.1,Virginia,Donald Trump,36,813,-0.1,a,2024-09-06,0,60
Virginia Commonwealth U.,2.1,Virginia,Donald Trump,35.7,749,-0.1,rv,2024-09-06,0,60
RMG Research,2.3,National,Donald Trump,48,2701,-0.4,lv,2024-09-05,1,61
Emerson,2.9,California,Donald Trump,38,815,-1.1,lv,2024-09-05,0,61
Emerson,2.9,Florida,Donald Trump,51.1,815,-1.1,lv,2024-09-05,0,61
Emerson,2.9,Texas,Donald Trump,50.9,845,-1.1,lv,2024-09-05,0,61
Emerson,2.9,Ohio,Donald Trump,54.3,945,-1.1,lv,2024-09-05,0,61
Marist,2.9,National,Donald Trump,48,1413,-0.9,rv,2024-09-05,1,61
Cygnal,2.1,National,Donald Trump,44.2,1510,-1.1,lv,2024-09-05,1,61
Cygnal,2.1,National,Donald Trump,46.9,1510,-1.1,lv,2024-09-05,1,61
Marquette Law School,3,Wisconsin,Donald Trump,48,822,-1.1,rv,2024-09-05,0,61
Marquette Law School,3,Wisconsin,Donald Trump,48,738,-1.1,lv,2024-09-05,0,61
Marquette Law School,3,Wisconsin,Donald Trump,43,822,-1.1,rv,2024-09-05,0,61
Marquette Law School,3,Wisconsin,Donald Trump,43,738,-1.1,lv,2024-09-05,0,61
Emerson,2.9,National,Donald Trump,47.6,1000,-1.1,lv,2024-09-04,1,62
SurveyMonkey,2,National,Donald Trump,41,18123,0.2,rv,2024-09-04,1,62
SurveyMonkey,2,National,Donald Trump,37,20762,0.2,a,2024-09-04,1,62
Kaiser Family Foundation,2.5,National,Donald Trump,47,1084,-0.3,rv,2024-09-04,1,62
YouGov,3,National,Donald Trump,45,1389,-1.1,rv,2024-09-03,1,63
Pew,2.5,National,Donald Trump,49,8044,-0.4,rv,2024-09-02,1,64
Cygnal,2.1,Alaska,Donald Trump,53,400,-1.1,lv,2024-09-01,0,65
Cygnal,2.1,Michigan,Donald Trump,46,600,-1.1,lv,2024-09-01,0,65
InsiderAdvantage,2,Nevada,Donald Trump,47.9,800,-0.3,lv,2024-08-31,0,66
InsiderAdvantage,2,Arizona,Donald Trump,48.6,800,-0.3,lv,2024-08-31,0,66
InsiderAdvantage,2,North Carolina,Donald Trump,49.2,800,-0.3,lv,2024-08-31,0,66
InsiderAdvantage,2,Georgia,Donald Trump,47.6,800,-0.3,lv,2024-08-31,0,66
YouGov,3,Texas,Donald Trump,49,1200,-1.1,rv,2024-08-31,0,66
YouGov,3,Texas,Donald Trump,49,1200,-1.1,rv,2024-08-31,0,66
SurveyUSA,2.8,Minnesota,Donald Trump,43,635,-1.3,lv,2024-08-29,0,68
CNN/SSRS,2.8,Arizona,Donald Trump,49,682,-0.6,lv,2024-08-29,0,68
CNN/SSRS,2.8,Georgia,Donald Trump,47,617,-0.6,lv,2024-08-29,0,68
CNN/SSRS,2.8,Michigan,Donald Trump,43,708,-0.6,lv,2024-08-29,0,68
CNN/SSRS,2.8,Nevada,Donald Trump,47,626,-0.6,lv,2024-08-29,0,68
CNN/SSRS,2.8,Pennsylvania,Donald Trump,47,789,-0.6,lv,2024-08-29,0,68
CNN/SSRS,2.8,Wisconsin,Donald Trump,44,976,-0.6,lv,2024-08-29,0,68
RMG Research,2.3,National,Donald Trump,48,2441,-0.4,lv,2024-08-28,1,69
East Carolina University,2.6,North Carolina,Donald Trump,47.6,920,-0.5,lv,2024-08-28,0,69
Emerson,2.9,Arizona,Donald Trump,51.2,720,-1.1,lv,2024-08-28,0,69
Emerson,2.9,Michigan,Donald Trump,47.6,800,-1.1,lv,2024-08-28,0,69
Emerson,2.9,Nevada,Donald Trump,48.8,1168,-1.1,lv,2024-08-28,0,69
Emerson,2.9,Pennsylvania,Donald Trump,49.4,950,-1.1,lv,2024-08-28,0,69
Emerson,2.9,Wisconsin,Donald Trump,49.8,850,-1.1,lv,2024-08-28,0,69
Emerson,2.9,North Carolina,Donald Trump,49.9,775,-1.1,lv,2024-08-28,0,69
Emerson,2.9,Georgia,Donald Trump,49,800,-1.1,lv,2024-08-28,0,69
Suffolk,2.9,National,Donald Trump,43.3,1000,-1,lv,2024-08-28,1,69
Ipsos,2.8,National,Donald Trump,40,3562,-0.9,rv,2024-08-28,1,69
Ipsos,2.8,National,Donald Trump,38,4253,-0.9,a,2024-08-28,1,69
Ipsos,2.8,National,Donald Trump,41,3562,-0.9,rv,2024-08-28,1,69
Ipsos,2.8,National,Donald Trump,36,4253,-0.9,a,2024-08-28,1,69
YouGov,3,National,Donald Trump,45,1368,-1.1,rv,2024-08-27,1,70
Quinnipiac,2.8,National,Donald Trump,47,1611,-0.5,lv,2024-08-27,1,70
Quinnipiac,2.8,National,Donald Trump,48,1611,-0.5,lv,2024-08-27,1,70
Ipsos,2.8,National,Donald Trump,46,2496,-0.9,a,2024-08-27,1,70
Ipsos,2.8,National,Donald Trump,45,2496,-0.9,a,2024-08-27,1,70
SurveyUSA,2.8,Nebraska,Donald Trump,54,1293,-1.3,rv,2024-08-27,0,70
SurveyUSA,2.8,Nebraska CD-2,Donald Trump,42,507,-1.3,rv,2024-08-27,0,70
Beacon/Shaw,2.8,Arizona,Donald Trump,47,1014,-1.1,rv,2024-08-26,0,71
Beacon/Shaw,2.8,Arizona,Donald Trump,49,1014,-1.1,rv,2024-08-26,0,71
Beacon/Shaw,2.8,Georgia,Donald Trump,46,1014,-1.1,rv,2024-08-26,0,71
Beacon/Shaw,2.8,Georgia,Donald Trump,48,1014,-1.1,rv,2024-08-26,0,71
Beacon/Shaw,2.8,Nevada,Donald Trump,46,1026,-1.1,rv,2024-08-26,0,71
Beacon/Shaw,2.8,Nevada,Donald Trump,48,1026,-1.1,rv,2024-08-26,0,71
Beacon/Shaw,2.8,North Carolina,Donald Trump,48,999,-1.1,rv,2024-08-26,0,71
Beacon/Shaw,2.8,North Carolina,Donald Trump,50,999,-1.1,rv,2024-08-26,0,71
YouGov,3,National,Donald Trump,45,1194,-1.1,rv,2024-08-26,1,71
YouGov,3,National,Donald Trump,46,1197,-1.1,rv,2024-08-26,1,71
YouGov,3,National,Donald Trump,36,1788,-1.1,a,2024-08-26,1,71
YouGov,3,National,Donald Trump,42,1200,-1.1,rv,2024-08-26,1,71
Echelon Insights,2.7,National,Donald Trump,49,1031,-0.8,lv,2024-08-25,1,72
Echelon Insights,2.7,National,Donald Trump,45,1031,-0.8,lv,2024-08-25,1,72
Echelon Insights,2.7,National,Donald Trump,48,1031,-0.8,lv,2024-08-25,1,72
Echelon Insights,2.7,National,Donald Trump,50,1031,-0.8,lv,2024-08-25,1,72
Leger,2,National,Donald Trump,46,908,0,a,2024-08-25,1,72
Leger,2,National,Donald Trump,46,863,0,lv,2024-08-25,1,72
Kaplan Strategies,2,National,Donald Trump,46,1257,-0.9,rv,2024-08-24,1,73
Kaplan Strategies,2,National,Donald Trump,45,1190,-0.9,lv,2024-08-24,1,73
Angus Reid,2,National,Donald Trump,40,1758,-0.1,rv,2024-08-23,1,74
Angus Reid,2,National,Donald Trump,42,1758,-0.1,rv,2024-08-23,1,74
YouGov,3,Pennsylvania,Donald Trump,42.5,500,-1.1,a,2024-08-23,0,74
YouGov,3,Pennsylvania,Donald Trump,41,500,-1.1,a,2024-08-23,0,74
YouGov,3,Wisconsin,Donald Trump,42,500,-1.1,a,2024-08-23,0,74
YouGov,3,Wisconsin,Donald Trump,40,500,-1.1,a,2024-08-23,0,74
YouGov,3,Michigan,Donald Trump,43.5,500,-1.1,a,2024-08-23,0,74
YouGov,3,Michigan,Donald Trump,41.5,500,-1.1,a,2024-08-23,0,74
Emerson,2.9,New Mexico,Donald Trump,46.4,965,-1.1,rv,2024-08-22,0,75
Emerson,2.9,New Mexico,Donald Trump,40.2,965,-1.1,rv,2024-08-22,0,75
RMG Research,2.3,National,Donald Trump,49,2404,-0.4,lv,2024-08-22,1,75
RMG Research,2.3,National,Donald Trump,46,2404,-0.4,lv,2024-08-22,1,75
YouGov,3,National,Donald Trump,40,1835,-1.1,a,2024-08-22,1,75
SurveyUSA/High Point University,2.8,North Carolina,Donald Trump,45,1053,-1.3,rv,2024-08-21,0,76
SurveyUSA/High Point University,2.8,North Carolina,Donald Trump,47,941,-1.3,lv,2024-08-21,0,76
YouGov,3,National,Donald Trump,43,1371,-1.1,rv,2024-08-20,1,77
Fairleigh Dickinson,2.6,National,Donald Trump,43,801,-0.6,rv,2024-08-20,1,77
InsiderAdvantage,2,Pennsylvania,Donald Trump,46.6,800,-0.3,lv,2024-08-19,0,78
U. New Hampshire,2.6,New Hampshire,Donald Trump,43,2048,-0.3,lv,2024-08-19,0,78
U. New Hampshire,2.6,New Hampshire,Donald Trump,47,2048,-0.3,lv,2024-08-19,0,78
U. New Hampshire,2.6,Vermont,Donald Trump,27,924,-0.3,lv,2024-08-19,0,78
U. New Hampshire,2.6,Vermont,Donald Trump,29,924,-0.3,lv,2024-08-19,0,78
U. New Hampshire,2.6,Maine,Donald Trump,38,951,-0.3,lv,2024-08-19,0,78
U. New Hampshire,2.6,Maine,Donald Trump,41,951,-0.3,lv,2024-08-19,0,78
U. New Hampshire,2.6,Maine CD-1,Donald Trump,33,490,-0.3,lv,2024-08-19,0,78
U. New Hampshire,2.6,Maine CD-1,Donald Trump,36,476,-0.3,lv,2024-08-19,0,78
U. New Hampshire,2.6,Maine CD-2,Donald Trump,44,443,-0.3,lv,2024-08-19,0,78
U. New Hampshire,2.6,Maine CD-2,Donald Trump,47,432,-0.3,lv,2024-08-19,0,78
Remington,2.6,Nebraska CD-2,Donald Trump,42,656,-0.6,lv,2024-08-17,0,80
YouGov,3,National,Donald Trump,48,3253,-1.1,lv,2024-08-16,1,81
YouGov,3,National,Donald Trump,47,3253,-1.1,lv,2024-08-16,1,81
Roanoke College,2.6,Virginia,Donald Trump,44,691,-0.4,lv,2024-08-16,0,81
Roanoke College,2.6,Virginia,Donald Trump,42,691,-0.4,lv,2024-08-16,0,81
Noble Predictive Insights,2.4,Arizona,Donald Trump,47,1003,-0.4,rv,2024-08-16,0,81
Noble Predictive Insights,2.4,Arizona,Donald Trump,44,1003,-0.4,rv,2024-08-16,0,81
YouGov,3,Missouri,Donald Trump,54,900,-1.1,lv,2024-08-16,0,81
University of Houston/Texas Southern University,2.2,Texas,Donald Trump,49.5,1365,-0.3,lv,2024-08-16,0,81
Cygnal,2.1,Pennsylvania,Donald Trump,47.1,800,-1.1,lv,2024-08-15,0,82
Cygnal,2.1,Pennsylvania,Donald Trump,44.3,800,-1.1,lv,2024-08-15,0,82
Siena/NYT,3,Nevada,Donald Trump,48,677,-1.5,rv,2024-08-15,0,82
Siena/NYT,3,Nevada,Donald Trump,48,677,-1.5,lv,2024-08-15,0,82
Siena/NYT,3,Nevada,Donald Trump,45,677,-1.5,rv,2024-08-15,0,82
Siena/NYT,3,Nevada,Donald Trump,46,677,-1.5,lv,2024-08-15,0,82
Siena/NYT,3,Arizona,Donald Trump,45,677,-1.5,rv,2024-08-15,0,82
Siena/NYT,3,Arizona,Donald Trump,45,677,-1.5,lv,2024-08-15,0,82
Siena/NYT,3,Arizona,Donald Trump,42,677,-1.5,rv,2024-08-15,0,82
Siena/NYT,3,Arizona,Donald Trump,43,677,-1.5,lv,2024-08-15,0,82
Data for Progress,2.6,National,Donald Trump,46,6067,-1.2,lv,2024-08-15,1,82
Data for Progress,2.6,National,Donald Trump,43,6067,-1.2,lv,2024-08-15,1,82
St. Anselm,2.4,New Hampshire,Donald Trump,44,1656,-0.5,rv,2024-08-14,0,83
Emerson,2.9,Pennsylvania,Donald Trump,50.7,1000,-1.1,lv,2024-08-14,0,83
Emerson,2.9,Pennsylvania,Donald Trump,47.4,1000,-1.1,lv,2024-08-14,0,83
Emerson,2.9,National,Donald Trump,47.7,1000,-1.1,lv,2024-08-14,1,83
Emerson,2.9,National,Donald Trump,43.5,1000,-1.1,lv,2024-08-14,1,83
RMG Research,2.3,National,Donald Trump,49,2708,-0.4,lv,2024-08-14,1,83
RMG Research,2.3,National,Donald Trump,46,2708,-0.4,lv,2024-08-14,1,83
Siena/NYT,3,North Carolina,Donald Trump,46,655,-1.5,rv,2024-08-14,0,83
Siena/NYT,3,North Carolina,Donald Trump,47,655,-1.5,lv,2024-08-14,0,83
Siena/NYT,3,North Carolina,Donald Trump,42,655,-1.5,rv,2024-08-14,0,83
Siena/NYT,3,North Carolina,Donald Trump,44,655,-1.5,lv,2024-08-14,0,83
Siena/NYT,3,Georgia,Donald Trump,51,661,-1.5,rv,2024-08-14,0,83
Siena/NYT,3,Georgia,Donald Trump,50,661,-1.5,lv,2024-08-14,0,83
Siena/NYT,3,Georgia,Donald Trump,47,661,-1.5,rv,2024-08-14,0,83
Siena/NYT,3,Georgia,Donald Trump,47,661,-1.5,lv,2024-08-14,0,83
RMG Research,2.3,Montana,Donald Trump,57,540,-0.4,rv,2024-08-14,0,83
YouGov,3,National,Donald Trump,44,1407,-1.1,rv,2024-08-13,1,84
Ipsos,2.8,National,Donald Trump,45,2336,-0.9,a,2024-08-13,1,84
Ipsos,2.8,National,Donald Trump,45,1975,-0.9,rv,2024-08-13,1,84
Ipsos,2.8,National,Donald Trump,45,1505,-0.9,lv,2024-08-13,1,84
Ipsos,2.8,National,Donald Trump,44,2336,-0.9,a,2024-08-13,1,84
Ipsos,2.8,National,Donald Trump,44,1975,-0.9,rv,2024-08-13,1,84
Beacon/Shaw,2.8,National,Donald Trump,45,1105,-1.1,rv,2024-08-12,1,85
Beacon/Shaw,2.8,National,Donald Trump,50,1105,-1.1,rv,2024-08-12,1,85
Quinnipiac,2.8,Pennsylvania,Donald Trump,45,1738,-0.5,lv,2024-08-12,0,85
Quinnipiac,2.8,Pennsylvania,Donald Trump,47,1738,-0.5,lv,2024-08-12,0,85
Suffolk,2.9,Florida,Donald Trump,46.8,500,-1,lv,2024-08-11,0,86
Pew,2.5,National,Donald Trump,45,7569,-0.4,rv,2024-08-11,1,86
UC Berkeley,2.5,California,Donald Trump,34,3765,-0.2,lv,2024-08-11,0,86
Franklin and Marshall College,2.4,Pennsylvania,Donald Trump,43,920,-0.1,rv,2024-08-11,0,86
Siena/NYT,3,Pennsylvania,Donald Trump,46,693,-1.5,rv,2024-08-09,0,88
Siena/NYT,3,Pennsylvania,Donald Trump,46,693,-1.5,lv,2024-08-09,0,88
Siena/NYT,3,Pennsylvania,Donald Trump,43,693,-1.5,rv,2024-08-09,0,88
Siena/NYT,3,Pennsylvania,Donald Trump,44,693,-1.5,lv,2024-08-09,0,88
YouGov Blue,3,North Carolina,Donald Trump,46,802,-1.1,rv,2024-08-09,0,88
InsiderAdvantage,2,Michigan,Donald Trump,47,800,-0.3,lv,2024-08-08,0,89
Cygnal,2.1,National,Donald Trump,47,1500,-1.1,lv,2024-08-08,1,89
Cygnal,2.1,National,Donald Trump,44.4,1500,-1.1,lv,2024-08-08,1,89
Siena/NYT,3,Michigan,Donald Trump,48,619,-1.5,rv,2024-08-08,0,89
Siena/NYT,3,Michigan,Donald Trump,46,619,-1.5,lv,2024-08-08,0,89
Siena/NYT,3,Michigan,Donald Trump,43,619,-1.5,rv,2024-08-08,0,89
Siena/NYT,3,Michigan,Donald Trump,43,619,-1.5,lv,2024-08-08,0,89
Siena/NYT,3,Wisconsin,Donald Trump,46,661,-1.5,rv,2024-08-08,0,89
Siena/NYT,3,Wisconsin,Donald Trump,46,661,-1.5,lv,2024-08-08,0,89
Siena/NYT,3,Wisconsin,Donald Trump,42,661,-1.5,rv,2024-08-08,0,89
